"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20230501","안산선","오이도","8051","7814","20230504"
"20230501","3호선","옥수","7246","7409","20230504"
"20230501","경원선","옥수","62","45","20230504"
"20230501","7호선","온수(성공회대입구)","6541","6442","20230504"
"20230501","경인선","온수(성공회대입구)","5778","5423","20230504"
"20230501","장항선","온양온천","5082","5079","20230504"
"20230501","5호선","올림픽공원(한국체대)","4481","4081","20230504"
"20230501","9호선2~3단계","올림픽공원(한국체대)","5737","6114","20230504"
"20230501","2호선","왕십리(성동구청)","13412","11340","20230504"
"20230501","5호선","왕십리(성동구청)","3593","4165","20230504"
"20230501","경원선","왕십리(성동구청)","13276","13515","20230504"
"20230501","경원선","외대앞","9777","10104","20230504"
"20230501","2호선","용답","2313","2280","20230504"
"20230501","2호선","용두(동대문구청)","1906","1806","20230504"
"20230501","7호선","용마산(용마폭포공원)","4465","4766","20230504"
"20230501","중앙선","용문","2937","2518","20230504"
"20230501","경부선","용산","40580","38175","20230504"
"20230501","5호선","우장산","11557","11370","20230504"
"20230501","중앙선","운길산","1486","1432","20230504"
"20230501","공항철도 1호선","운서","8051","8779","20230504"
"20230501","경의선","운정","5695","5291","20230504"
"20230501","경의선","운천","2","8","20230504"
"20230501","일산선","원당","9603","9017","20230504"
"20230501","중앙선","원덕","596","515","20230504"
"20230501","수인선","원인재","3861","4077","20230504"
"20230501","일산선","원흥","8869","8680","20230504"
"20230501","경원선","월계","6416","5895","20230504"
"20230501","6호선","월곡(동덕여대)","10397","9988","20230504"
"20230501","수인선","월곶","2608","2414","20230504"
"20230501","6호선","월드컵경기장(성산)","5662","5871","20230504"
"20230501","경의선","월롱","1329","2108","20230504"
"20230501","3호선","을지로3가","7238","6979","20230504"
"20230501","2호선","을지로3가","14236","12704","20230504"
"20230501","2호선","을지로4가","10596","10973","20230504"
"20230501","5호선","을지로4가","4929","5083","20230504"
"20230501","2호선","을지로입구","31850","30589","20230504"
"20230501","경원선","응봉","1754","1553","20230504"
"20230501","6호선","응암","13770","13925","20230504"
"20230501","경부선","의왕","6498","6544","20230504"
"20230501","경원선","의정부","17446","18048","20230504"
"20230501","2호선","이대","15199","17279","20230504"
"20230501","경강선","이매","965","806","20230504"
"20230501","분당선","이매","5007","4564","20230504"
"20230501","7호선","이수","12010","11292","20230504"
"20230501","경강선","이천","2609","2740","20230504"
"20230501","경원선","이촌(국립중앙박물관)","3551","2768","20230504"
"20230501","4호선","이촌(국립중앙박물관)","8623","9465","20230504"
"20230501","6호선","이태원","10766","10590","20230504"
"20230501","과천선","인덕원","15819","16071","20230504"
"20230501","수인선","인천","1480","2301","20230504"
"20230501","경인선","인천","5278","4262","20230504"
"20230501","공항철도 1호선","인천공항1터미널","13597","12240","20230504"
"20230501","공항철도 1호선","인천공항2터미널","4699","4101","20230504"
"20230501","수인선","인천논현","4778","4963","20230504"
"20230501","수인선","인하대","7384","7009","20230504"
"20230501","경의선","일산","7601","7329","20230504"
"20230501","3호선","일원","6685","6405","20230504"
"20230501","경의선","임진강","50","89","20230504"
"20230501","8호선","잠실(송파구청)","13495","15181","20230504"
"20230501","2호선","잠실(송파구청)","65901","63118","20230504"
"20230501","2호선","잠실나루","8549","8613","20230504"
"20230501","2호선","잠실새내","17885","17855","20230504"
"20230501","3호선","잠원","4036","3819","20230504"
"20230501","7호선","장승배기","7237","7222","20230504"
"20230501","7호선","장암","1755","978","20230504"
"20230501","8호선","장지","13120","12930","20230504"
"20230501","5호선","장한평","12968","13121","20230504"
"20230501","우이신설선","정릉","4203","3593","20230504"
"20230501","일산선","정발산","17051","17068","20230504"
"20230501","과천선","정부과천청사","7969","8042","20230504"
"20230501","안산선","정왕","9553","9867","20230504"
"20230501","분당선","정자","10899","11360","20230504"
"20230501","1호선","제기동","17768","18510","20230504"
"20230501","경인선","제물포","8671","8260","20230504"
"20230501","1호선","종각","24515","22181","20230504"
"20230501","3호선","종로3가","7544","9596","20230504"
"20230501","5호선","종로3가","15022","13913","20230504"
"20230501","1호선","종로3가","26730","23402","20230504"
"20230501","1호선","종로5가","25823","25120","20230504"
"20230501","2호선","종합운동장","7680","8308","20230504"
"20230501","9호선2~3단계","종합운동장","3222","3239","20230504"
"20230501","경인선","주안","17102","15421","20230504"
"20230501","일산선","주엽","8273","8270","20230504"
"20230501","분당선","죽전","11956","13326","20230504"
"20230501","7호선","중계","11358","10343","20230504"
"20230501","7호선","중곡","8235","7899","20230504"
"20230501","경인선","중동","7264","6617","20230504"
"20230501","중앙선","중랑","4864","4730","20230504"
"20230501","안산선","중앙","16618","16622","20230504"
"20230501","9호선2~3단계","중앙보훈병원","5721","5366","20230504"
"20230501","7호선","중화","8346","8316","20230504"
"20230501","9호선","증미","3576","3606","20230504"
"20230501","6호선","증산(명지대앞)","8009","8140","20230504"
"20230501","3호선","지축","4727","4656","20230504"
"20230501","중앙선","지평","96","99","20230504"
"20230501","경원선","지행","6403","6164","20230504"
"20230501","경부선","직산","877","939","20230504"
"20230501","경부선","진위","1320","1241","20230504"
"20230501","4호선","창동","20454","21490","20230504"
"20230501","6호선","창신","2991","2774","20230504"
"20230501","경춘선","천마산","1621","1550","20230504"
"20230501","경부선","천안","8336","8079","20230504"
"20230501","7호선","천왕","7789","7659","20230504"
"20230501","8호선","천호(풍납토성)","11231","12928","20230504"
"20230501","5호선","천호(풍납토성)","16407","16196","20230504"
"20230501","7호선","철산","15241","15365","20230504"
"20230501","6호선","청구","3040","3087","20230504"
"20230501","5호선","청구","3059","2786","20230504"
"20230501","7호선","청담","10824","11467","20230504"
